layer,layer_0,layer_1,layer_2,layer_3,layer_4,layer_5,layer_6,layer_7,layer_8,layer_9,layer_10,layer_11,layer_12,layer_13,layer_14,layer_15,layer_16,layer_17,layer_18,layer_19,layer_20,layer_21,layer_22,layer_23,layer_24,layer_25,layer_26,layer_27,layer_28,layer_29,layer_30,layer_31
22,0.07104362547397614,0.04179433360695839,0.02294033206999302,0.0075011360459029675,0.004232152830809355,0.012658613733947277,0.007928385399281979,0.008644846267998219,0.0031300242990255356,0.009465686976909637,0.013579539023339748,0.02720957249403,0.011729016900062561,0.03523940220475197,0.011286817491054535,0.014050813391804695,0.046403247863054276,0.32777178287506104,0.4558952748775482,0.616263747215271,0.74431973695755,0.8715959787368774,1.0000009536743164,0.9123778939247131,0.855686604976654,0.8113330602645874,0.7632679343223572,0.6935451030731201,0.6390011310577393,0.5897190570831299,0.5236020088195801,0.248616024851799
23,0.06115129962563515,0.0685102567076683,0.03162031248211861,0.006349609699100256,0.0033598707523196936,0.011134401895105839,0.004193112254142761,0.020688790827989578,0.01685953699052334,0.015073020942509174,0.006087621208280325,0.02851022407412529,0.006654520984739065,0.0012622170615941286,0.017058735713362694,0.02606169506907463,0.016438892111182213,0.30027449131011963,0.4132564663887024,0.5464244484901428,0.6793595552444458,0.7974981665611267,0.9123778939247131,0.9999988079071045,0.9275552034378052,0.877396821975708,0.8135162591934204,0.7330673933029175,0.6716089248657227,0.6216215491294861,0.5443644523620605,0.2117321640253067
24,0.06575556099414825,0.04866015166044235,0.029425693675875664,0.016343725845217705,0.01509113423526287,0.016803985461592674,0.010234860703349113,0.024047212675213814,0.02031981386244297,0.005972215905785561,0.013404428958892822,0.024203484877943993,0.008814896456897259,0.008614803664386272,0.0034499072935432196,0.0025483649224042892,0.03521574288606644,0.2848210334777832,0.38557305932044983,0.5213148593902588,0.6361802220344543,0.7512028217315674,0.855686604976654,0.9275552034378052,1.0000008344650269,0.9462418556213379,0.8859334588050842,0.7984988689422607,0.7301777005195618,0.6731904745101929,0.5886110663414001,0.2657206654548645
25,0.06640893220901489,0.03992253541946411,0.0285897646099329,0.01727878488600254,0.018812058493494987,0.01137988455593586,0.015132404863834381,0.022700591012835503,0.015912124887108803,0.009853876195847988,0.010101160034537315,0.026036029681563377,0.0033824534621089697,0.011497439816594124,0.00031988375121727586,0.006157674826681614,0.034381940960884094,0.2685175836086273,0.36288511753082275,0.4919247329235077,0.5947045087814331,0.7117776274681091,0.8113330602645874,0.877396821975708,0.9462418556213379,0.9999987483024597,0.9307266473770142,0.8338955044746399,0.7668647766113281,0.7043298482894897,0.6192669868469238,0.2991034984588623
26,0.058232009410858154,0.009707385674118996,0.024663852527737617,0.020595427602529526,0.03259449079632759,0.019061094149947166,0.018508430570364,0.019923953339457512,0.010262716561555862,0.01261950470507145,0.00867009162902832,0.010573270730674267,0.011053290218114853,0.020875748246908188,0.010654641315340996,0.024815965443849564,0.05007191374897957,0.2462184578180313,0.33320170640945435,0.4558296203613281,0.5405610799789429,0.662716805934906,0.7632679343223572,0.8135162591934204,0.8859334588050842,0.9307266473770142,1.000000238418579,0.8899692296981812,0.8176941871643066,0.7452374696731567,0.6653633117675781,0.36307668685913086
27,0.076929971575737,0.00386313465423882,0.02659384161233902,0.021702392026782036,0.02965145744383335,0.02192598208785057,0.03588799387216568,0.007654441054910421,0.0018093602266162634,0.014063683338463306,0.011705481447279453,0.025068124756217003,0.013827318325638771,0.020421970635652542,0.025465385988354683,0.03341622278094292,0.05449415370821953,0.21771013736724854,0.3015366196632385,0.42992281913757324,0.503369927406311,0.6096704006195068,0.6935451030731201,0.7330673933029175,0.7984988689422607,0.8338955044746399,0.8899692296981812,0.9999996423721313,0.9065622687339783,0.8280501365661621,0.7420184016227722,0.4258226156234741
28,0.08174889534711838,0.0072220806032419205,0.02402576245367527,0.01786777749657631,0.022910678759217262,0.021993711590766907,0.0366184338927269,0.008953232318162918,0.012290241196751595,0.009030171670019627,0.005410505924373865,0.014777030795812607,0.014102771878242493,0.012399326078593731,0.019545065239071846,0.02915133908390999,0.053540002554655075,0.20147329568862915,0.28103503584861755,0.386563777923584,0.4487800598144531,0.5578597784042358,0.6390011310577393,0.6716089248657227,0.7301777005195618,0.7668647766113281,0.8176941871643066,0.9065622687339783,1.000000238418579,0.9212347269058228,0.8247908353805542,0.4762420654296875
29,0.07646846026182175,0.013999939896166325,0.03324815258383751,0.011923599988222122,0.011971119791269302,0.02117639034986496,0.03807893395423889,0.015311009250581264,0.006910781376063824,0.010680240578949451,0.00272244680672884,0.030278146266937256,0.004430130124092102,0.009439866989850998,0.015252189710736275,0.020480982959270477,0.05344229191541672,0.19539862871170044,0.26385971903800964,0.35866981744766235,0.4172809422016144,0.5141400098800659,0.5897190570831299,0.6216215491294861,0.6731904745101929,0.7043298482894897,0.7452374696731567,0.8280501365661621,0.9212347269058228,0.9999993443489075,0.8892384767532349,0.4825386703014374
30,0.055322274565696716,0.023549407720565796,0.00905477162450552,0.03302602097392082,0.030338671058416367,0.014520088210701942,0.042348261922597885,0.006258148699998856,0.008900926448404789,0.015477452427148819,0.0022816574200987816,0.010481834411621094,0.001335522742010653,0.025414422154426575,0.03474656492471695,0.049248646944761276,0.059683799743652344,0.16908924281597137,0.25350815057754517,0.3323148488998413,0.3786333203315735,0.4640427529811859,0.5236020088195801,0.5443644523620605,0.5886110663414001,0.6192669868469238,0.6653633117675781,0.7420184016227722,0.8247908353805542,0.8892384767532349,0.9999993443489075,0.6350717544555664
31,0.028224000707268715,0.2330690175294876,0.07492145150899887,0.06869704276323318,0.07874101400375366,0.01882600411772728,0.05871686339378357,0.05103664845228195,0.02084125205874443,0.03170415014028549,0.010900557041168213,0.06452295929193497,0.01891307905316353,0.09868939965963364,0.1263406127691269,0.19308799505233765,0.14475399255752563,0.12691062688827515,0.1590157300233841,0.21575795114040375,0.18381135165691376,0.22593343257904053,0.248616024851799,0.2117321640253067,0.2657206654548645,0.2991034984588623,0.36307668685913086,0.4258226156234741,0.4762420654296875,0.4825386703014374,0.6350717544555664,1.0000008344650269
