tokens,baseline_nll,changed_nll,nll_increase,mean_next_token_kl,top1_agreement,kind,seed,rank,layer
1016,3.0582579364926796,3.0558650700126107,-0.002392866480068978,0.0011358225908805067,0.9734251968503937,random,3,5,17
1016,3.0582579364926796,3.055073415200541,-0.0031845212921384203,0.0012646632518355301,0.9773622047244095,random,3,6,17
1016,3.0582579364926796,3.052706140232837,-0.00555179625984259,0.0014265665388482763,0.9783464566929134,random,3,7,17
1016,3.0582579364926796,3.0552559199295644,-0.003002016563115273,0.0015237720932547501,0.9773622047244095,random,3,8,17
1016,3.0582579364926796,3.05698917418953,-0.0012687623031495399,0.0007335773896513961,0.9803149606299213,random,4,1,17
1016,3.0582579364926796,3.0563127412570745,-0.0019451952356051017,0.00106085983552332,0.9783464566929134,random,4,2,17
1016,3.0582579364926796,3.057012362742987,-0.0012455737496925856,0.0012172271651545846,0.9812992125984252,random,4,3,17
1016,3.0582579364926796,3.0553278885488435,-0.0029300479438361116,0.0014208921297328679,0.9783464566929134,random,4,4,17
1016,3.0582579364926796,3.05604144719642,-0.002216489296259727,0.0014482154620914008,0.969488188976378,random,4,5,17
1016,3.0582579364926796,3.054046030119648,-0.004211906373031482,0.0015657699014258197,0.9714566929133859,random,4,6,17
1016,3.0582579364926796,3.056344340166708,-0.001913596325971767,0.0025256245624362015,0.968503937007874,random,4,7,17
1016,3.0582579364926796,3.0565389798382134,-0.0017189566544661972,0.002585948921564057,0.96751968503937,random,4,8,17
1016,3.0582579364926796,3.0583339901421014,7.605364942175896e-05,0.0008944610031101647,0.985236220472441,random,5,1,17
1016,3.0582579364926796,3.0593214861051305,0.0010635496124509203,0.000989749089000732,0.9803149606299213,random,5,2,17
1016,3.0582579364926796,3.0604120690052903,0.0021541325126106514,0.0011289669420775465,0.9734251968503937,random,5,3,17
1016,3.0582579364926796,3.060060876560962,0.0018029400682824104,0.0012122334575089882,0.9704724409448819,random,5,4,17
1016,3.0582579364926796,3.061059906726747,0.0028019702340675856,0.0014438700136237257,0.9773622047244095,random,5,5,17
1016,3.0582579364926796,3.058857835183932,0.0005998986912523208,0.0014530152199775214,0.9793307086614174,random,5,6,17
1016,3.0582579364926796,3.057861928864727,-0.0003960076279527769,0.001569815918685883,0.9744094488188977,random,5,7,17
1016,3.0582579364926796,3.059921384796383,0.001663448303703241,0.00165681816696182,0.9744094488188977,random,5,8,17
1016,3.0582579364926796,3.058817585622232,0.0005596491295523087,0.0007701704762582704,0.9793307086614174,random,6,1,17
1016,3.0582579364926796,3.0588348869263657,0.0005769504336861075,0.0009200578247468302,0.9763779527559056,random,6,2,17
1016,3.0582579364926796,3.0583192119448204,6.127545214074104e-05,0.0013886793978570952,0.985236220472441,random,6,3,17
1016,3.0582579364926796,3.0578756257304995,-0.00038231076218009363,0.0015354596489057766,0.9763779527559056,random,6,4,17
1016,3.0582579364926796,3.0580208845964565,-0.00023705189622313938,0.001623693765617731,0.9773622047244095,random,6,5,17
1016,3.0582579364926796,3.0561576302595963,-0.0021003062330833266,0.0016822533931319169,0.9753937007874016,random,6,6,17
1016,3.0582579364926796,3.055683766763041,-0.0025741697296384203,0.0018147454839053116,0.9803149606299213,random,6,7,17
1016,3.0582579364926796,3.0543593759611833,-0.003898560531496287,0.001898788619698502,0.9744094488188977,random,6,8,17
1016,3.0582579364926796,3.0589811069758857,0.000723170483206026,0.0006614656840253064,0.9763779527559056,random,7,1,17
1016,3.0582579364926796,3.0580274927334523,-0.00023044375922731675,0.0007369977341392847,0.9783464566929134,random,7,2,17
1016,3.0582579364926796,3.0591291292445866,0.0008711927519069462,0.0009777877978452546,0.9763779527559056,random,7,3,17
1016,3.0582579364926796,3.0594155619463583,0.0011576254536787012,0.0011936861464357752,0.9783464566929134,random,7,4,17
1016,3.0582579364926796,3.059912133404589,0.001654196911909267,0.0013035409093841792,0.9773622047244095,random,7,5,17
1016,3.0582579364926796,3.059163010965182,0.0009050744725023208,0.0013461856860814132,0.9753937007874016,random,7,6,17
1016,3.0582579364926796,3.060126477339136,0.00186854084645649,0.001500854518000535,0.9734251968503937,random,7,7,17
1016,3.0582579364926796,3.061214056540662,0.0029561200479824024,0.0015579364079190052,0.9724409448818898,random,7,8,17
1016,3.0582579364926796,3.0567101906603718,-0.0015477458323078785,0.0006732972353462159,0.9753937007874016,random,8,1,17
1016,3.0582579364926796,3.058653103085015,0.00039516659233518325,0.000856845280316871,0.9793307086614174,random,8,2,17
1016,3.0582579364926796,3.0574984813299704,-0.000759455162709255,0.0012189031351269699,0.9744094488188977,random,8,3,17
1016,3.0582579364926796,3.0584278256874384,0.00016988919475879882,0.0014801027150604669,0.9793307086614174,random,8,4,17
1016,3.0582579364926796,3.0614596389410065,0.0032017024483268486,0.0015501214528646995,0.9753937007874016,random,8,5,17
1016,3.0582579364926796,3.062666404904343,0.004408468411663424,0.0017005333046274862,0.9724409448818898,random,8,6,17
1016,3.0582579364926796,3.062602726493295,0.004344790000615273,0.002302382640012606,0.9665354330708661,random,8,7,17
