kind,seed,rank,source,ablation_reduction,aggregate_mean
random,4,7,driftgate,-0.03125,0.015624985098838806
random,4,7,fluxpatch,0.0625,0.015624985098838806
random,4,7,motifbridge,-2.9802322387695312e-08,0.015624985098838806
random,4,7,phasenest,-2.9802322387695312e-08,0.015624985098838806
random,4,7,phasesar,0.03125,0.015624985098838806
random,4,7,quorumweave,0.0625,0.015624985098838806
random,4,7,shardbloom,-0.031249970197677612,0.015624985098838806
random,4,8,anchorshift,0.06249997019767761,0.007812493480741978
random,4,8,driftgate,-0.03125,0.007812493480741978
random,4,8,fluxpatch,0.0,0.007812493480741978
random,4,8,motifbridge,-5.21540641784668e-08,0.007812493480741978
random,4,8,phasenest,0.0,0.007812493480741978
random,4,8,phasesar,0.03125,0.007812493480741978
random,4,8,quorumweave,-0.03125,0.007812493480741978
random,4,8,shardbloom,0.03125002980232239,0.007812493480741978
random,5,1,anchorshift,0.062499940395355225,-0.019531261175870895
random,5,1,driftgate,-0.0625,-0.019531261175870895
random,5,1,fluxpatch,-0.0625000149011612,-0.019531261175870895
random,5,1,motifbridge,-0.0625000149011612,-0.019531261175870895
random,5,1,phasenest,0.031249985098838806,-0.019531261175870895
random,5,1,phasesar,-1.4901161193847656e-08,-0.019531261175870895
random,5,1,quorumweave,-0.0625,-0.019531261175870895
random,5,1,shardbloom,2.9802322387695312e-08,-0.019531261175870895
random,5,2,anchorshift,-0.0625,-0.011718746274709702
random,5,2,driftgate,-0.09375,-0.011718746274709702
random,5,2,fluxpatch,0.03125,-0.011718746274709702
random,5,2,motifbridge,-2.9802322387695312e-08,-0.011718746274709702
random,5,2,phasenest,0.0,-0.011718746274709702
random,5,2,phasesar,0.03125,-0.011718746274709702
random,5,2,quorumweave,0.03125,-0.011718746274709702
random,5,2,shardbloom,-0.031249940395355225,-0.011718746274709702
random,5,3,anchorshift,-5.960464477539063e-08,-0.02343750186264515
random,5,3,driftgate,-0.09375,-0.02343750186264515
random,5,3,fluxpatch,-0.03125,-0.02343750186264515
random,5,3,motifbridge,-0.031250014901161194,-0.02343750186264515
random,5,3,phasenest,-0.031249970197677612,-0.02343750186264515
random,5,3,phasesar,0.03125,-0.02343750186264515
random,5,3,quorumweave,-0.03125,-0.02343750186264515
random,5,3,shardbloom,2.9802322387695312e-08,-0.02343750186264515
random,5,4,anchorshift,0.031249940395355225,-0.027343755587935448
random,5,4,driftgate,-0.09375,-0.027343755587935448
random,5,4,fluxpatch,-0.03125,-0.027343755587935448
random,5,4,motifbridge,-1.4901161193847656e-08,-0.027343755587935448
random,5,4,phasenest,0.0,-0.027343755587935448
random,5,4,phasesar,-0.03125,-0.027343755587935448
random,5,4,quorumweave,-0.125,-0.027343755587935448
random,5,4,shardbloom,0.03125002980232239,-0.027343755587935448
random,5,5,anchorshift,-0.06250002980232239,-0.02734375186264515
random,5,5,driftgate,-0.1249999850988388,-0.02734375186264515
random,5,5,fluxpatch,-0.09375,-0.02734375186264515
random,5,5,motifbridge,0.0625,-0.02734375186264515
random,5,5,phasenest,0.031249970197677612,-0.02734375186264515
random,5,5,phasesar,-0.03125,-0.02734375186264515
random,5,5,quorumweave,0.0,-0.02734375186264515
random,5,5,shardbloom,2.9802322387695312e-08,-0.02734375186264515
random,5,6,anchorshift,-0.031250059604644775,-0.007812507450580597
random,5,6,driftgate,-0.0625,-0.007812507450580597
random,5,6,fluxpatch,0.0,-0.007812507450580597
random,5,6,motifbridge,0.031249985098838806,-0.007812507450580597
random,5,6,phasenest,-0.03125,-0.007812507450580597
random,5,6,phasesar,-1.4901161193847656e-08,-0.007812507450580597
random,5,6,quorumweave,-0.03125,-0.007812507450580597
random,5,6,shardbloom,0.06250002980232239,-0.007812507450580597
random,5,7,anchorshift,-0.06250002980232239,-0.03125000651925802
random,5,7,driftgate,-0.0937500074505806,-0.03125000651925802
random,5,7,fluxpatch,0.03125,-0.03125000651925802
random,5,7,motifbridge,-2.9802322387695312e-08,-0.03125000651925802
random,5,7,phasenest,-0.0625,-0.03125000651925802
random,5,7,phasesar,-0.0625000149011612,-0.03125000651925802
random,5,7,quorumweave,0.0,-0.03125000651925802
random,5,7,shardbloom,2.9802322387695312e-08,-0.03125000651925802
random,5,8,anchorshift,0.031249940395355225,0.003906235098838806
random,5,8,driftgate,-0.031250014901161194,0.003906235098838806
random,5,8,fluxpatch,0.03125,0.003906235098838806
