kind,seed,source,addition_effect,aggregate_mean
random,44,driftgate,-0.015625007450580597,-0.0039062537252902985
random,44,fluxpatch,0.0,-0.0039062537252902985
random,44,motifbridge,-1.4901161193847656e-08,-0.0039062537252902985
random,44,phasenest,-0.015625,-0.0039062537252902985
random,44,phasesar,-0.0312500074505806,-0.0039062537252902985
random,44,quorumweave,0.015625,-0.0039062537252902985
random,44,shardbloom,-0.015624985098838806,-0.0039062537252902985
random,45,anchorshift,0.031249985098838806,0.03710937313735485
random,45,driftgate,0.015625,0.03710937313735485
random,45,fluxpatch,0.0625,0.03710937313735485
random,45,motifbridge,0.031249985098838806,0.03710937313735485
random,45,phasenest,0.03125,0.03710937313735485
random,45,phasesar,0.03125,0.03710937313735485
random,45,quorumweave,0.046875,0.03710937313735485
random,45,shardbloom,0.046875014901161194,0.03710937313735485
random,46,anchorshift,0.046874985098838806,0.021484373603016138
random,46,driftgate,0.015624996274709702,0.021484373603016138
random,46,fluxpatch,0.015625,0.021484373603016138
random,46,motifbridge,0.015624985098838806,0.021484373603016138
random,46,phasenest,0.046875,0.021484373603016138
random,46,phasesar,0.015625007450580597,0.021484373603016138
random,46,quorumweave,0.03125,0.021484373603016138
random,46,shardbloom,-0.015624985098838806,0.021484373603016138
random,47,anchorshift,-0.078125,-0.0683593675494194
random,47,driftgate,-0.109375,-0.0683593675494194
random,47,fluxpatch,-0.09374996274709702,-0.0683593675494194
random,47,motifbridge,-1.4901161193847656e-08,-0.0683593675494194
random,47,phasenest,-0.09375,-0.0683593675494194
random,47,phasesar,-0.07812497764825821,-0.0683593675494194
random,47,quorumweave,-0.078125,-0.0683593675494194
random,47,shardbloom,-0.015624985098838806,-0.0683593675494194
random,48,anchorshift,0.04687497019767761,0.0175781212747097
random,48,driftgate,0.015625,0.0175781212747097
random,48,fluxpatch,0.03125,0.0175781212747097
random,48,motifbridge,0.015624985098838806,0.0175781212747097
random,48,phasenest,-0.015625,0.0175781212747097
random,48,phasesar,0.03125,0.0175781212747097
random,48,quorumweave,0.0,0.0175781212747097
random,48,shardbloom,0.015625014901161194,0.0175781212747097
random,49,anchorshift,-0.03125,-0.044921874068677425
random,49,driftgate,-0.0781249925494194,-0.044921874068677425
random,49,fluxpatch,-0.031249992549419403,-0.044921874068677425
random,49,motifbridge,-0.03125002235174179,-0.044921874068677425
random,49,phasenest,-0.046875,-0.044921874068677425
random,49,phasesar,-0.0625,-0.044921874068677425
random,49,quorumweave,-0.03125,-0.044921874068677425
random,49,shardbloom,-0.046874985098838806,-0.044921874068677425
random,50,anchorshift,0.046874985098838806,0.017578120343387127
random,50,driftgate,-0.031249992549419403,0.017578120343387127
random,50,fluxpatch,0.0,0.017578120343387127
random,50,motifbridge,-1.4901161193847656e-08,0.017578120343387127
random,50,phasenest,0.031249985098838806,0.017578120343387127
random,50,phasesar,0.046875,0.017578120343387127
random,50,quorumweave,0.0,0.017578120343387127
random,50,shardbloom,0.046875,0.017578120343387127
random,51,anchorshift,0.031249985098838806,0.015625
random,51,driftgate,1.4901161193847656e-08,0.015625
random,51,fluxpatch,0.03125,0.015625
random,51,motifbridge,-1.4901161193847656e-08,0.015625
random,51,phasenest,0.015625,0.015625
random,51,phasesar,0.015625,0.015625
random,51,quorumweave,0.03125,0.015625
random,51,shardbloom,1.4901161193847656e-08,0.015625
random,52,anchorshift,0.031249985098838806,0.023437502793967724
random,52,driftgate,0.015625007450580597,0.023437502793967724
random,52,fluxpatch,0.046875,0.023437502793967724
random,52,motifbridge,0.03125,0.023437502793967724
random,52,phasenest,0.015625014901161194,0.023437502793967724
random,52,phasesar,0.0,0.023437502793967724
random,52,quorumweave,0.015625,0.023437502793967724
random,52,shardbloom,0.031250014901161194,0.023437502793967724
random,53,anchorshift,-0.015625,-0.0019531212747097015
random,53,driftgate,-0.046875,-0.0019531212747097015
random,53,fluxpatch,0.0,-0.0019531212747097015
random,53,motifbridge,0.031249992549419403,-0.0019531212747097015
random,53,phasenest,-0.015625,-0.0019531212747097015
random,53,phasesar,0.0468750074505806,-0.0019531212747097015
random,53,quorumweave,0.0,-0.0019531212747097015
random,53,shardbloom,-0.015624970197677612,-0.0019531212747097015
random,54,anchorshift,-0.031250014901161194,-0.025390627793967724
random,54,driftgate,-0.03125,-0.025390627793967724
random,54,fluxpatch,-0.046875,-0.025390627793967724
random,54,motifbridge,-0.015625014901161194,-0.025390627793967724
random,54,phasenest,-0.015625,-0.025390627793967724
random,54,phasesar,-0.015625007450580597,-0.025390627793967724
random,54,quorumweave,-0.03125,-0.025390627793967724
random,54,shardbloom,-0.015624985098838806,-0.025390627793967724
random,55,anchorshift,0.031249985098838806,0.015624997206032276
random,55,driftgate,-0.015625007450580597,0.015624997206032276
random,55,fluxpatch,0.015625,0.015624997206032276
random,55,motifbridge,0.015624985098838806,0.015624997206032276
random,55,phasenest,1.4901161193847656e-08,0.015624997206032276
random,55,phasesar,0.0625,0.015624997206032276
random,55,quorumweave,0.015625,0.015624997206032276
random,55,shardbloom,0.0,0.015624997206032276
random,56,anchorshift,0.015624985098838806,0.007812497206032276
random,56,driftgate,-0.031249992549419403,0.007812497206032276
random,56,fluxpatch,0.015625,0.007812497206032276
random,56,motifbridge,0.03124997764825821,0.007812497206032276
random,56,phasenest,0.015625,0.007812497206032276
random,56,phasesar,0.015624992549419403,0.007812497206032276
random,56,quorumweave,-0.015625,0.007812497206032276
random,56,shardbloom,0.015625014901161194,0.007812497206032276
random,57,anchorshift,-1.4901161193847656e-08,0.015625001396983862
random,57,driftgate,1.1175870895385742e-08,0.015625001396983862
random,57,fluxpatch,0.015624992549419403,0.015625001396983862
random,57,motifbridge,-1.4901161193847656e-08,0.015625001396983862
random,57,phasenest,0.046875014901161194,0.015625001396983862
random,57,phasesar,0.015624992549419403,0.015625001396983862
random,57,quorumweave,0.03125,0.015625001396983862
random,57,shardbloom,0.015625029802322388,0.015625001396983862
random,58,anchorshift,-0.03125,-0.0039062495343387127
random,58,driftgate,0.015625,-0.0039062495343387127
random,58,fluxpatch,-0.031249992549419403,-0.0039062495343387127
random,58,motifbridge,0.01562497764825821,-0.0039062495343387127
random,58,phasenest,-0.015624996274709702,-0.0039062495343387127
random,58,phasesar,0.0,-0.0039062495343387127
random,58,quorumweave,0.03125,-0.0039062495343387127
random,58,shardbloom,-0.015624985098838806,-0.0039062495343387127
random,59,anchorshift,0.015624985098838806,-0.0019531315192580223
random,59,driftgate,-0.015625,-0.0019531315192580223
random,59,fluxpatch,0.03125,-0.0019531315192580223
random,59,motifbridge,-2.9802322387695312e-08,-0.0019531315192580223
random,59,phasenest,-0.015625,-0.0019531315192580223
random,59,phasesar,-7.450580596923828e-09,-0.0019531315192580223
