heldout_source,seed,mean_addition_effect
transformer,83,0.0468750074505806
transformer,84,0.0625
transformer,85,0.09375
transformer,86,0.015625
transformer,87,-7.450580596923828e-09
transformer,88,-0.015624992549419403
transformer,89,0.0781250074505806
transformer,90,0.03125
transformer,91,0.03125
transformer,92,0.0624999925494194
transformer,93,0.0625000074505806
transformer,94,0.031249985098838806
transformer,95,0.0624999925494194
transformer,96,0.03125
transformer,97,0.03125
transformer,98,0.015625014901161194
transformer,99,1.4901161193847656e-08
unet,0,0.03124997764825821
unet,1,0.0
unet,2,-0.0624999925494194
unet,3,-0.0781249925494194
unet,4,7.450580596923828e-09
unet,5,-0.03125002980232239
unet,6,0.0312500074505806
unet,7,-0.015624992549419403
unet,8,-0.031249992549419403
unet,9,0.015625007450580597
unet,10,-0.031249992549419403
unet,11,-0.0468749925494194
unet,12,0.0312500074505806
unet,13,-0.015624985098838806
unet,14,0.0468750074505806
unet,15,0.015625007450580597
unet,16,0.0312500074505806
unet,17,-0.0468749925494194
unet,18,7.450580596923828e-09
unet,19,0.015625007450580597
unet,20,0.046875
unet,21,-0.031249992549419403
unet,22,-0.0781249925494194
unet,23,0.0468750074505806
unet,24,-0.015625
unet,25,-0.0624999925494194
unet,26,-0.04687502235174179
unet,27,7.450580596923828e-09
unet,28,-0.0468749925494194
unet,29,-0.031249992549419403
unet,30,-0.031249992549419403
unet,31,1.4901161193847656e-08
unet,32,7.450580596923828e-09
unet,33,0.015625007450580597
unet,34,-0.046874985098838806
unet,35,-0.031249992549419403
unet,36,0.0468750074505806
unet,37,0.0468750074505806
unet,38,-0.015625014901161194
unet,39,0.0312500074505806
unet,40,-0.1093749925494194
unet,41,0.0312500074505806
unet,42,7.450580596923828e-09
unet,43,0.015625014901161194
unet,44,0.015625007450580597
unet,45,0.0781250074505806
unet,46,0.0312500074505806
unet,47,-0.015624992549419403
unet,48,0.0468750074505806
unet,49,-0.031249992549419403
unet,50,7.450580596923828e-09
unet,51,0.0312500074505806
unet,52,0.0468750074505806
unet,53,-2.9802322387695312e-08
unet,54,-0.0781249925494194
unet,55,0.015625007450580597
unet,56,0.0312500074505806
unet,57,-0.015625
unet,58,7.450580596923828e-09
unet,59,0.0
unet,60,-0.015625
unet,61,-0.01562502235174179
unet,62,-0.031249992549419403
unet,63,-0.0625000074505806
unet,64,7.450580596923828e-09
