heldout_source,layer,tail_position,direction_norm,validation_addition_effect,validation_ablation_reduction,selection_score
ddpm,0,-2,0.005624573677778244,-0.006696430167981556,-0.008928567171096802,-0.008928567171096802
ddpm,0,-1,0.004167831037193537,0.011160714817898614,-0.00892857355730875,-0.00892857355730875
ddpm,1,-5,0.010796583257615566,0.01116071907537324,-0.031249991485050754,-0.031249991485050754
ddpm,1,-4,0.011818773113191128,-0.024553569832018445,0.06696428997176032,-0.024553569832018445
ddpm,1,-3,0.009972060099244118,4.257474626813616e-09,0.10714286672217502,4.257474626813616e-09
ddpm,1,-2,0.010893600061535835,-0.004464282521179744,-0.013392842241695957,-0.013392842241695957
ddpm,1,-1,0.00895486306399107,0.006696433361087527,0.026785718543188897,0.006696433361087527
ddpm,2,-5,0.01730537600815296,0.0066964275070599145,0.03571428358554837,0.0066964275070599145
ddpm,2,-4,0.018302155658602715,-0.002232141260589872,0.022321424313953925,-0.002232141260589872
ddpm,2,-3,0.02048993855714798,0.024553575686046054,-0.004464284649917105,-0.004464284649917105
ddpm,2,-2,0.013658851385116577,0.004464289971760341,-0.008928562913622207,-0.008928562913622207
ddpm,2,-1,0.014800767414271832,-0.0022321375352995737,-0.00892857355730875,-0.00892857355730875
ddpm,3,-5,0.0537923239171505,-0.004464278795889446,-0.022321426442691306,-0.022321426442691306
ddpm,3,-4,0.03611559420824051,-0.022321421120847975,-0.022321411541530112,-0.022321421120847975
ddpm,3,-3,0.03483600169420242,-0.02678570949605533,0.026785720671926194,-0.02678570949605533
ddpm,3,-2,0.0237612035125494,-0.011160711624792643,-0.008928563977990855,-0.011160711624792643
ddpm,3,-1,0.037906188517808914,-0.004464286778654371,-0.008928576750414752,-0.008928576750414752
ddpm,4,-5,0.07165183126926422,-0.0044642846499170575,0.02232143815074647,-0.0044642846499170575
ddpm,4,-4,0.051850300282239914,0.008928574621677399,0.0937500042574746,0.008928574621677399
ddpm,4,-3,0.0498645193874836,-0.011160710560423988,0.013392877365861589,-0.011160710560423988
ddpm,4,-2,0.03859531134366989,-0.006696423249585288,-0.013392855014119853,-0.013392855014119853
ddpm,4,-1,0.054894715547561646,-0.024553573557308743,-0.0401785724929401,-0.0401785724929401
ddpm,5,-5,0.07221456617116928,-0.008928576218230384,-0.013392851821013907,-0.013392851821013907
ddpm,5,-4,0.057652924209833145,-0.015624997871262687,0.017857155629566718,-0.015624997871262687
ddpm,5,-3,0.051198992878198624,-0.006696431764534542,9.579317894470307e-09,-0.006696431764534542
ddpm,5,-2,0.04067349433898926,-0.022321428571428572,-0.03124999893563135,-0.03124999893563135
ddpm,5,-1,0.05800272151827812,-0.017857137003115246,-0.004464285714285754,-0.017857137003115246
ddpm,6,-5,0.07437629997730255,4.7896589551653184e-09,0.0401785692998341,4.7896589551653184e-09
ddpm,6,-4,0.062001198530197144,-0.0022321316812719616,0.0401785714285714,-0.0022321316812719616
ddpm,6,-3,0.050447117537260056,-0.015625002128737315,0.026785714285714274,-0.015625002128737315
ddpm,6,-2,0.04148675873875618,0.0066964291036129,-0.008928562913622207,-0.008928562913622207
ddpm,6,-1,0.05455779656767845,0.008928575153861727,0.022321428571428548,0.008928575153861727
ddpm,7,-5,0.1562585085630417,0.04464285873941013,-0.013392855014119853,-0.013392855014119853
ddpm,7,-4,0.08519097417593002,0.011160715350082942,-0.013392859271594504,-0.013392859271594504
ddpm,7,-3,0.06245246157050133,-0.013392853417566844,-0.026785712156977004,-0.026785712156977004
ddpm,7,-2,0.05236480012536049,-0.015624997339078359,4.257474595092958e-09,-0.015624997339078359
ddpm,7,-1,0.07474467158317566,0.002232146050248827,-0.01339285714285715,-0.01339285714285715
ddpm,8,-5,0.1597340703010559,0.04017857355730874,0.004464298486709595,0.004464298486709595
