heldout_source,kind,seed,addition_effect,all_layer_ablation_reduction
resnet,random,18,-7.450580596923828e-09,-0.031249985098838806
resnet,random,19,0.015625,-0.0937500074505806
transformer,learned,-1,0.171875,0.15624995529651642
transformer,random,0,0.015625007450580597,0.031249985098838806
transformer,random,1,0.0625000074505806,0.03125
transformer,random,2,-7.450580596923828e-09,0.0625
transformer,random,3,-0.015625,0.15625
transformer,random,4,0.031249992549419403,0.031249970197677612
transformer,random,5,0.031249985098838806,0.031249970197677612
transformer,random,6,0.03125002235174179,0.0625
transformer,random,7,-0.015625,0.125
transformer,random,8,0.0468749925494194,0.03125002980232239
transformer,random,9,1.4901161193847656e-08,0.1250000149011612
transformer,random,10,0.015624985098838806,0.0625
transformer,random,11,-0.015625007450580597,0.062499940395355225
transformer,random,12,0.031249992549419403,0.21875
transformer,random,13,0.03125,0.0625
transformer,random,14,0.0624999925494194,0.125
transformer,random,15,0.015625,-0.031249992549419403
transformer,random,16,0.03125,0.062499985098838806
transformer,random,17,-2.2351741790771484e-08,-1.4901161193847656e-08
transformer,random,18,-0.015624992549419403,0.0
transformer,random,19,0.0312500074505806,0.062499985098838806
unet,learned,-1,0.234375,0.1250000149011612
unet,random,0,0.03124997764825821,-0.031249985098838806
unet,random,1,0.0,-0.062499985098838806
unet,random,2,-0.0624999925494194,0.031250014901161194
unet,random,3,-0.0781249925494194,0.03125
unet,random,4,7.450580596923828e-09,0.1250000149011612
unet,random,5,-0.03125002980232239,0.09375002980232239
unet,random,6,0.0312500074505806,0.031250014901161194
unet,random,7,-0.015624992549419403,0.0625000149011612
unet,random,8,-0.031249992549419403,1.4901161193847656e-08
unet,random,9,0.015625007450580597,0.031250014901161194
unet,random,10,-0.031249992549419403,1.4901161193847656e-08
unet,random,11,-0.0468749925494194,0.0625000149011612
unet,random,12,0.0312500074505806,0.031250014901161194
unet,random,13,-0.015624985098838806,0.0
unet,random,14,0.0468750074505806,-4.470348358154297e-08
unet,random,15,0.015625007450580597,-0.03125
unet,random,16,0.0312500074505806,-0.031249985098838806
unet,random,17,-0.0468749925494194,0.15624995529651642
unet,random,18,7.450580596923828e-09,-0.031249985098838806
unet,random,19,0.015625007450580597,0.06250002980232239
xgboost,learned,-1,0.2812499925494194,0.09375
xgboost,random,0,0.03125,-0.06249997019767761
xgboost,random,1,-0.046875,-0.2187499850988388
xgboost,random,2,-0.0937499925494194,-0.09374997019767761
xgboost,random,3,-0.0625,5.960464477539063e-08
xgboost,random,4,0.0,0.03125
xgboost,random,5,0.0,2.9802322387695312e-08
xgboost,random,6,-0.015625,-0.0625
xgboost,random,7,-0.03125,-0.0625
xgboost,random,8,-7.450580596923828e-09,0.031249970197677612
xgboost,random,9,0.0,-2.9802322387695312e-08
xgboost,random,10,-0.01562502235174179,7.450580596923828e-09
xgboost,random,11,-0.0625,-0.125
xgboost,random,12,-0.015625,0.03125
xgboost,random,13,0.0,-0.09375
xgboost,random,14,0.031250014901161194,-0.125
xgboost,random,15,-0.015625014901161194,-0.1562500298023224
xgboost,random,16,0.03125,-0.1562499701976776
xgboost,random,17,-0.06249997764825821,0.06250002980232239
xgboost,random,18,0.015625,2.9802322387695312e-08
xgboost,random,19,0.0,-0.15625
