kind,seed,source,addition_effect,aggregate_mean
random,13,shardbloom,-0.015625,-0.0322265699505806
random,14,anchorshift,0.0546875,0.053710934706032276
random,14,driftgate,0.015625029802322388,0.053710934706032276
random,14,fluxpatch,0.015625,0.053710934706032276
random,14,motifbridge,0.015625007450580597,0.053710934706032276
random,14,phasenest,0.046875,0.053710934706032276
random,14,phasesar,0.2968749403953552,0.053710934706032276
random,14,quorumweave,-0.03125,0.053710934706032276
random,14,shardbloom,0.015625,0.053710934706032276
random,15,anchorshift,0.1328125,0.05371091328561306
random,15,driftgate,-0.125,0.05371091328561306
random,15,fluxpatch,-7.450580596923828e-09,0.05371091328561306
random,15,motifbridge,0.015625007450580597,0.05371091328561306
random,15,phasenest,0.0781249850988388,0.05371091328561306
random,15,phasesar,0.12499982118606567,0.05371091328561306
random,15,quorumweave,0.21875,0.05371091328561306
random,15,shardbloom,-0.015625,0.05371091328561306
random,16,anchorshift,0.2890625,0.25488279946148396
random,16,driftgate,0.34375,0.25488279946148396
random,16,fluxpatch,0.421875,0.25488279946148396
random,16,motifbridge,0.2500000149011612,0.25488279946148396
random,16,phasenest,0.28125,0.25488279946148396
random,16,phasesar,0.22656238079071045,0.25488279946148396
random,16,quorumweave,0.0546875,0.25488279946148396
random,16,shardbloom,0.171875,0.25488279946148396
random,17,anchorshift,0.015625,-0.029296888038516045
random,17,driftgate,-0.125,-0.029296888038516045
random,17,fluxpatch,-0.0624999925494194,-0.029296888038516045
random,17,motifbridge,-0.0468749925494194,-0.029296888038516045
random,17,phasenest,-0.03125,-0.029296888038516045
random,17,phasesar,0.24218738079071045,-0.029296888038516045
random,17,quorumweave,-0.1953125,-0.029296888038516045
random,17,shardbloom,-0.03125,-0.029296888038516045
random,18,anchorshift,-0.0390625,-0.03222658019512892
random,18,driftgate,0.203125,-0.03222658019512892
random,18,fluxpatch,-0.0625,-0.03222658019512892
random,18,motifbridge,0.1093749925494194,-0.03222658019512892
random,18,phasenest,-0.1875000149011612,-0.03222658019512892
random,18,phasesar,-0.10937511920928955,-0.03222658019512892
random,18,quorumweave,-0.15625,-0.03222658019512892
random,18,shardbloom,-0.015625,-0.03222658019512892
random,19,anchorshift,0.0,-0.07031251676380634
random,19,driftgate,0.015624940395355225,-0.07031251676380634
random,19,fluxpatch,0.0781249925494194,-0.07031251676380634
random,19,motifbridge,-0.0468749925494194,-0.07031251676380634
random,19,phasenest,-0.2812500149011612,-0.07031251676380634
random,19,phasesar,-0.031250059604644775,-0.07031251676380634
random,19,quorumweave,-0.296875,-0.07031251676380634
random,19,shardbloom,0.0,-0.07031251676380634
random,20,anchorshift,-0.0625,-0.0703125074505806
random,20,driftgate,0.34375,-0.0703125074505806
random,20,fluxpatch,-0.3437500074505806,-0.0703125074505806
random,20,motifbridge,-0.1874999925494194,-0.0703125074505806
random,20,phasenest,-0.140625,-0.0703125074505806
random,20,phasesar,0.031249940395355225,-0.0703125074505806
random,20,quorumweave,-0.140625,-0.0703125074505806
random,20,shardbloom,-0.0625,-0.0703125074505806
random,21,anchorshift,-0.0078125,-0.060546877793967724
random,21,driftgate,0.06250002980232239,-0.060546877793967724
random,21,fluxpatch,-0.203125,-0.060546877793967724
random,21,motifbridge,-0.1874999925494194,-0.060546877793967724
random,21,phasenest,-0.046875,-0.060546877793967724
random,21,phasesar,0.046874940395355225,-0.060546877793967724
random,21,quorumweave,0.0078125,-0.060546877793967724
random,21,shardbloom,-0.15625,-0.060546877793967724
random,22,anchorshift,0.1328125,-0.017578125931322575
random,22,driftgate,-0.09375005960464478,-0.017578125931322575
random,22,fluxpatch,0.1406250074505806,-0.017578125931322575
random,22,motifbridge,-0.06249995529651642,-0.017578125931322575
random,22,phasenest,0.0625,-0.017578125931322575
random,22,phasesar,-0.03125,-0.017578125931322575
random,22,quorumweave,-0.1328125,-0.017578125931322575
random,22,shardbloom,-0.15625,-0.017578125931322575
random,23,anchorshift,0.0078125,0.015624995343387127
random,23,driftgate,-0.046875,0.015624995343387127
random,23,fluxpatch,0.046875,0.015624995343387127
random,23,motifbridge,-0.0937499925494194,0.015624995343387127
random,23,phasenest,0.1562500149011612,0.015624995343387127
random,23,phasesar,0.23437494039535522,0.015624995343387127
random,23,quorumweave,-0.2734375,0.015624995343387127
random,23,shardbloom,0.09375,0.015624995343387127
random,24,anchorshift,-0.0078125,-0.009765625
random,24,driftgate,-0.21874994039535522,-0.009765625
random,24,fluxpatch,0.0625,-0.009765625
random,24,motifbridge,-0.078125,-0.009765625
random,24,phasenest,0.109375,-0.009765625
random,24,phasesar,0.031249940395355225,-0.009765625
random,24,quorumweave,0.0546875,-0.009765625
random,24,shardbloom,-0.03125,-0.009765625
random,25,anchorshift,0.2265625,0.1865234337747097
random,25,driftgate,0.265625,0.1865234337747097
random,25,fluxpatch,0.375,0.1865234337747097
random,25,motifbridge,0.0781250149011612,0.1865234337747097
random,25,phasenest,0.1562500149011612,0.1865234337747097
random,25,phasesar,0.2812499403953552,0.1865234337747097
random,25,quorumweave,0.0,0.1865234337747097
random,25,shardbloom,0.109375,0.1865234337747097
random,26,anchorshift,0.0,0.08886718656867743
random,26,driftgate,0.390625,0.08886718656867743
random,26,fluxpatch,0.0625,0.08886718656867743
random,26,motifbridge,0.2187499925494194,0.08886718656867743
random,26,phasenest,0.046875,0.08886718656867743
random,26,phasesar,0.125,0.08886718656867743
random,26,quorumweave,-0.0390625,0.08886718656867743
random,26,shardbloom,-0.09375,0.08886718656867743
random,27,anchorshift,0.0078125,-0.07226562406867743
random,27,driftgate,-0.031249940395355225,-0.07226562406867743
random,27,fluxpatch,-0.265625,-0.07226562406867743
random,27,motifbridge,-0.1406249925494194,-0.07226562406867743
random,27,phasenest,-0.046875,-0.07226562406867743
random,27,phasesar,0.046874940395355225,-0.07226562406867743
random,27,quorumweave,-0.1796875,-0.07226562406867743
random,27,shardbloom,0.03125,-0.07226562406867743
random,28,anchorshift,0.0,0.012695305049419403
random,28,driftgate,-0.23437505960464478,0.012695305049419403
random,28,fluxpatch,0.09375,0.012695305049419403
random,28,motifbridge,0.09375,0.012695305049419403
random,28,phasenest,0.0625,0.012695305049419403
random,28,phasesar,0.09374988079071045,0.012695305049419403
random,28,quorumweave,-0.1171875,0.012695305049419403
random,28,shardbloom,0.10937511920928955,0.012695305049419403
random,29,anchorshift,-0.1171875,-0.1835937611758709
random,29,driftgate,-2.9802322387695312e-08,-0.1835937611758709
random,29,fluxpatch,-0.09375,-0.1835937611758709
random,29,motifbridge,-0.4375,-0.1835937611758709
random,29,phasenest,-0.28125,-0.1835937611758709
