heldout_source,layer,tail_position,direction_norm,validation_addition_effect,validation_ablation_reduction,selection_score
kriging,6,-2,0.6638759970664978,0.07291666666666667,-0.04166666666666674,-0.04166666666666674
kriging,6,-1,0.6894621849060059,0.16666666666666666,0.6666666666666666,0.16666666666666666
kriging,7,-5,1.1951348781585693,-0.1875,0.27083333333333337,-0.1875
kriging,7,-4,0.7281920313835144,0.010416666666666666,-0.22916666666666674,-0.22916666666666674
kriging,7,-3,1.4316836595535278,-0.15625,0.2499999999999999,-0.15625
kriging,7,-2,0.6592254042625427,-0.08333333333333333,0.125,-0.08333333333333333
kriging,7,-1,0.7047610878944397,-0.125,0.14583333333333326,-0.125
kriging,8,-5,1.2573881149291992,0.020833333333333332,-0.10416666666666674,-0.10416666666666674
kriging,8,-4,0.8445589542388916,-0.052083333333333336,0.08333333333333326,-0.052083333333333336
kriging,8,-3,1.482538104057312,-0.0625,0.0625,-0.0625
kriging,8,-2,0.6862117648124695,-0.010416666666666666,0.08333333333333326,-0.010416666666666666
kriging,8,-1,0.823860764503479,0.052083333333333336,-0.0625,-0.0625
kriging,9,-5,1.2520668506622314,0.19791666666666666,0.10416666666666663,0.10416666666666663
kriging,9,-4,0.8346725106239319,-0.11458333333333333,0.02083333333333326,-0.11458333333333333
kriging,9,-3,1.4588861465454102,0.125,0.39583333333333337,0.125
kriging,9,-2,0.6900781989097595,0.010416666666666666,0.125,0.010416666666666666
kriging,9,-1,0.8276751637458801,0.14583333333333334,0.1875,0.14583333333333334
kriging,10,-5,1.1919231414794922,0.2916666666666667,0.35416666666666663,0.2916666666666667
kriging,10,-4,0.8520824909210205,0.21875,-0.27083333333333337,-0.27083333333333337
kriging,10,-3,1.367009162902832,0.07291666666666667,0.04166666666666663,0.04166666666666663
kriging,10,-2,1.1826536655426025,-0.020833333333333332,0.0,-0.020833333333333332
kriging,10,-1,0.8078267574310303,0.1875,0.08333333333333326,0.08333333333333326
kriging,11,-5,1.1967920064926147,0.3229166666666667,0.35416666666666663,0.3229166666666667
kriging,11,-4,0.8495853543281555,0.10416666666666667,0.04166666666666663,0.04166666666666663
kriging,11,-3,1.3929030895233154,0.052083333333333336,-0.125,-0.125
