test_set,kind,seed,aggregate_gap
stimuli_prospective_synthetic,permuted_labels,97,-0.01380092091858387
stimuli_prospective_synthetic,random,98,0.014399674721062183
stimuli_prospective_synthetic,permuted_labels,98,0.07360957562923431
stimuli_prospective_synthetic,random,99,-0.0017025372944772243
stimuli_prospective_synthetic,permuted_labels,99,0.1120794378221035
stimuli_prospective_profile_paraphrase,random,0,-0.016147945076227188
stimuli_prospective_profile_paraphrase,permuted_labels,0,-0.09678714442998171
stimuli_prospective_profile_paraphrase,random,1,-0.0027125845663249493
stimuli_prospective_profile_paraphrase,permuted_labels,1,0.0034923693165183067
stimuli_prospective_profile_paraphrase,random,2,-0.007072290405631065
stimuli_prospective_profile_paraphrase,permuted_labels,2,-0.2756882037501782
stimuli_prospective_profile_paraphrase,random,3,-0.002190079540014267
stimuli_prospective_profile_paraphrase,permuted_labels,3,0.15119234193116426
stimuli_prospective_profile_paraphrase,random,4,-0.008794100023806095
stimuli_prospective_profile_paraphrase,permuted_labels,4,0.14109264640137553
stimuli_prospective_profile_paraphrase,random,5,-0.007302535697817802
stimuli_prospective_profile_paraphrase,permuted_labels,5,-0.2705977722071111
stimuli_prospective_profile_paraphrase,random,6,0.0010837237350642681
stimuli_prospective_profile_paraphrase,permuted_labels,6,0.05571538023650646
stimuli_prospective_profile_paraphrase,random,7,-0.001996454899199307
stimuli_prospective_profile_paraphrase,permuted_labels,7,0.22507558995857835
stimuli_prospective_profile_paraphrase,random,8,0.009973938576877117
stimuli_prospective_profile_paraphrase,permuted_labels,8,0.2515974666457623
stimuli_prospective_profile_paraphrase,random,9,-0.0034312382340431213
stimuli_prospective_profile_paraphrase,permuted_labels,9,0.04613915365189314
stimuli_prospective_profile_paraphrase,random,10,-0.007739032851532102
stimuli_prospective_profile_paraphrase,permuted_labels,10,0.05152246681973338
stimuli_prospective_profile_paraphrase,random,11,-0.006248942576348782
stimuli_prospective_profile_paraphrase,permuted_labels,11,0.08372058998793364
stimuli_prospective_profile_paraphrase,random,12,0.001272706314921379
stimuli_prospective_profile_paraphrase,permuted_labels,12,-0.1443822756409645
stimuli_prospective_profile_paraphrase,random,13,0.013476219028234482
stimuli_prospective_profile_paraphrase,permuted_labels,13,0.025104546919465065
stimuli_prospective_profile_paraphrase,random,14,-0.000649541150778532
stimuli_prospective_profile_paraphrase,permuted_labels,14,0.14402986085042357
stimuli_prospective_profile_paraphrase,random,15,0.004732618108391762
stimuli_prospective_profile_paraphrase,permuted_labels,15,0.047716439701616764
stimuli_prospective_profile_paraphrase,random,16,0.0025337636470794678
stimuli_prospective_profile_paraphrase,permuted_labels,16,-0.010276696644723415
stimuli_prospective_profile_paraphrase,random,17,0.011448971694335341
stimuli_prospective_profile_paraphrase,permuted_labels,17,-0.26015952974557877
stimuli_prospective_profile_paraphrase,random,18,0.019900969229638577
stimuli_prospective_profile_paraphrase,permuted_labels,18,-0.11600172240287066
stimuli_prospective_profile_paraphrase,random,19,-0.00021878443658351898
stimuli_prospective_profile_paraphrase,permuted_labels,19,-0.05169218685477972
stimuli_prospective_profile_paraphrase,random,20,0.00317785725928843
stimuli_prospective_profile_paraphrase,permuted_labels,20,-0.15668287128210068
stimuli_prospective_profile_paraphrase,random,21,0.009993791580200195
stimuli_prospective_profile_paraphrase,permuted_labels,21,0.1399720786139369
stimuli_prospective_profile_paraphrase,random,22,-0.01364346593618393
stimuli_prospective_profile_paraphrase,permuted_labels,22,-0.03124280646443367
stimuli_prospective_profile_paraphrase,random,23,-0.0014231391251087189
stimuli_prospective_profile_paraphrase,permuted_labels,23,0.24633210059255362
stimuli_prospective_profile_paraphrase,random,24,-0.011551305651664734
stimuli_prospective_profile_paraphrase,permuted_labels,24,0.00022746063768863678
stimuli_prospective_profile_paraphrase,random,25,0.003031575120985508
stimuli_prospective_profile_paraphrase,permuted_labels,25,0.08211881667375565
stimuli_prospective_profile_paraphrase,random,26,0.0028585996478796005
stimuli_prospective_profile_paraphrase,permuted_labels,26,-0.1925472728908062
stimuli_prospective_profile_paraphrase,random,27,-0.0007352819666266441
stimuli_prospective_profile_paraphrase,permuted_labels,27,0.09502904256805778
stimuli_prospective_profile_paraphrase,random,28,-0.0042780982330441475
stimuli_prospective_profile_paraphrase,permuted_labels,28,0.07917948672547936
stimuli_prospective_profile_paraphrase,random,29,0.00998802948743105
stimuli_prospective_profile_paraphrase,permuted_labels,29,0.05577600281685591
stimuli_prospective_profile_paraphrase,random,30,0.020032287575304508
stimuli_prospective_profile_paraphrase,permuted_labels,30,-0.14553960133343935
stimuli_prospective_profile_paraphrase,random,31,0.0136483209207654
stimuli_prospective_profile_paraphrase,permuted_labels,31,0.23078136472031474
stimuli_prospective_profile_paraphrase,random,32,-0.005566907115280628
stimuli_prospective_profile_paraphrase,permuted_labels,32,0.30207528336904943
stimuli_prospective_profile_paraphrase,random,33,0.003331487998366356
stimuli_prospective_profile_paraphrase,permuted_labels,33,-0.1547467103227973
stimuli_prospective_profile_paraphrase,random,34,0.008493301924318075
stimuli_prospective_profile_paraphrase,permuted_labels,34,0.12144384178100154
stimuli_prospective_profile_paraphrase,random,35,-0.011663176584988832
stimuli_prospective_profile_paraphrase,permuted_labels,35,0.09528309479355812
stimuli_prospective_profile_paraphrase,random,36,0.0031363945454359055
stimuli_prospective_profile_paraphrase,permuted_labels,36,-0.2342591555789113
