layer,tail_position,direction_norm,validation_decoding_accuracy,validation_addition_effect,validation_ablation_reduction,selection_score
22,-5,4.2199931144714355,1.0,0.328125,0.21875004470348358,0.21875004470348358
22,-4,1.027396321296692,0.875,0.0468749925494194,0.09375,0.0468749925494194
22,-3,0.5349366664886475,1.0,0.0,0.0625,0.0
22,-2,1.878313660621643,1.0,0.1875,-0.0624999925494194,-0.0624999925494194
22,-1,3.168120861053467,1.0,0.3125,0.1562500074505806,0.1562500074505806
23,-5,4.37364387512207,1.0,0.109375,0.03125,0.03125
23,-4,1.2551153898239136,0.875,0.015625018626451492,0.062499985098838806,0.015625018626451492
23,-3,0.6539192795753479,1.0,0.0468749925494194,0.09375,0.0468749925494194
23,-2,2.0353891849517822,1.0,0.0781249925494194,-0.0937500149011612,-0.0937500149011612
23,-1,3.1767821311950684,1.0,0.09375,0.0937499850988388,0.0937499850988388
24,-5,4.44103479385376,1.0,0.1093750074505806,0.03125,0.03125
24,-4,1.4885386228561401,1.0,0.03125,0.0,0.0
24,-3,0.7558805346488953,1.0,0.0,0.0625000074505806,0.0
24,-2,2.193831205368042,1.0,0.09375,-0.375,-0.375
24,-1,3.170893907546997,1.0,0.125,0.0,0.0
25,-5,4.385601997375488,1.0,0.078125,0.0,0.0
25,-4,1.715415596961975,1.0,0.0,0.0625,0.0
25,-3,0.8916130065917969,1.0,0.015625,0.0625,0.015625
25,-2,2.2913472652435303,1.0,0.078125,-0.625,-0.625
25,-1,3.117009401321411,1.0,0.109375,-0.03125,-0.03125
26,-5,4.434347152709961,1.0,0.0625,0.28125,0.0625
26,-4,2.083883047103882,1.0,0.0,0.0,0.0
26,-3,1.0271636247634888,1.0,0.015624992549419403,0.06250002980232239,0.015624992549419403
26,-2,2.34120774269104,0.875,0.0781249888241291,-0.53125,-0.53125
26,-1,3.18807315826416,1.0,0.109375,-0.3437500149011612,-0.3437500149011612
27,-5,4.70028829574585,1.0,0.03125,0.0937500074505806,0.03125
27,-4,2.5241851806640625,1.0,0.046875,0.031249985098838806,0.031249985098838806
27,-3,1.1520687341690063,1.0,0.015625,0.03125,0.015625
27,-2,2.441098690032959,0.875,0.015625,-0.5,-0.5
27,-1,3.279224395751953,0.875,0.0312500037252903,-0.1249999850988388,-0.1249999850988388
28,-5,4.979763507843018,1.0,0.015625,0.0625,0.015625
28,-4,3.0239734649658203,1.0,-1.4901161193847656e-08,0.09375004470348358,-1.4901161193847656e-08
28,-3,1.374613881111145,1.0,0.046875,0.03125,0.03125
28,-2,2.6507692337036133,0.875,0.031249985098838806,-0.9687499925494194,-0.9687499925494194
28,-1,3.4709925651550293,0.875,0.0625,-0.125,-0.125
29,-5,5.400678634643555,1.0,0.046875,0.0625,0.046875
29,-4,3.7977066040039062,1.0,-0.015625007450580597,-0.03125,-0.03125
29,-3,1.694423794746399,1.0,0.015624992549419403,0.09375,0.015624992549419403
29,-2,2.905336380004883,1.0,0.0781249925494194,-0.3749999776482582,-0.3749999776482582
29,-1,3.774763345718384,0.75,0.0625000111758709,-0.0625000149011612,-0.0625000149011612
30,-5,6.00357723236084,1.0,0.031250014901161194,0.031249985098838806,0.031249985098838806
30,-4,4.423880577087402,1.0,0.015625,0.0,0.0
30,-3,2.0512473583221436,1.0,0.0312500074505806,0.03125,0.03125
30,-2,3.285737991333008,1.0,0.03125002235174179,-0.5312500447034836,-0.5312500447034836
30,-1,4.220676422119141,0.75,0.0468749925494194,-0.375,-0.375
31,-5,7.376496315002441,1.0,0.0,-0.09375,-0.09375
31,-4,5.238282680511475,1.0,0.03125,-0.03125,-0.03125
31,-3,2.664926528930664,1.0,0.015625,0.0,0.0
31,-2,4.334566116333008,1.0,0.015625014901161194,-0.4374999850988388,-0.4374999850988388
31,-1,5.623600959777832,0.75,0.015624985098838806,-0.3750000149011612,-0.3750000149011612
